Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>DISYS</>,<>c7x3336nbg18m66dlvt</>,<>http://www.careerbuilder.com/jobs/company/c7x3336nbg18m66dlvt/disys?sc_cmp1=13_JobRes_ComDet</>,<>JHP88Z6DJYMK8GXS18Y</>,<>15-1099.02</>,<>Computer Systems Engineers/Architects</>,<>Pega Architect DISYS is currently looking for a Pega Architect for several positions here in ...  Pega System Architect / Lead Pega System Architect...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHP88Z6DJYMK8GXS18Y</>,<>https://api.careerbuilder.com/v1/job?DID=JHP88Z6DJYMK8GXS18Y&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>AZ - Phoenix</>,<>33.4507</>,<>-112.0684</>,<>7/23/2014 6:13:52 PM</>,<>$55.00 - $65.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHP88Z6DJYMK8GXS18Y</>,<>Pega Architect</>,<>CanBulkApply</>,"<>
        <Skill>soap</Skill>
        <Skill>java virtual machine</Skill>
        <Skill>oracle database</Skill>
        <Skill>xml</Skill>
        <Skill>User Interface design</Skill>
        <Skill>Session management</Skill>
        <Skill>User Interface</Skill>
        <Skill>java naming and directory interface</Skill>
        <Skill>microsoft visio</Skill>
        <Skill>computer security</Skill>
        <Skill>ajax</Skill>
        <Skill>system testing</Skill>
      </>"
<>DASNY</>,</>,</>,<>JHR6BW6ZKX4D3L5TKBG</>,<>17-1011.00</>,"<>Architects, Except Landscape and Naval</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR6BW6ZKX4D3L5TKBG</>,<>https://api.careerbuilder.com/v1/job?DID=JHR6BW6ZKX4D3L5TKBG&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NY - Albany</>,<>42.6561</>,<>-73.7479</>,<>7/11/2014 10:57:03 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR6BW6ZKX4D3L5TKBG</>,<>Assistant Architect</>,<>CanBulkApply</>,"<>
        <Skill>Development aid</Skill>
        <Skill>Quality assurance</Skill>
        <Skill>Architectural engineering</Skill>
        <Skill>Building Information Modeling</Skill>
        <Skill>Computer-aided design</Skill>
        <Skill>Engineering analysis</Skill>
        <Skill>Project management</Skill>
        <Skill>Microsoft Excel</Skill>
      </>"
<>Collabera Inc.</>,<>c8a5z874t503m6w7ghf</>,<>http://www.careerbuilder.com/jobs/company/c8a5z874t503m6w7ghf/collabera-inc?sc_cmp1=13_JobRes_ComDet</>,<>JHR3ZW5WL4R8RZFKGXM</>,<>15-1099.02</>,<>Computer Systems Engineers/Architects</>,<>Job Title : Enterprise Architect Job Location: McLean VA Duration: Over 8 Months (Possible ...  Keywords Enterprise Architect / Oracle SOA/OSB / Agile...</>,</>,<>Full-Time</>,<>Master's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR3ZW5WL4R8RZFKGXM</>,<>https://api.careerbuilder.com/v1/job?DID=JHR3ZW5WL4R8RZFKGXM&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>VA - McLean</>,<>38.9335</>,<>-77.1791</>,<>7/15/2014 10:34:14 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR3ZW5WL4R8RZFKGXM</>,<>Enterprise Architect</>,<>CanBulkApply</>,"<>
        <Skill>quality assurance</Skill>
        <Skill>oracle soa suite</Skill>
        <Skill>oracle database</Skill>
        <Skill>data warehouse</Skill>
        <Skill>software development</Skill>
        <Skill>link aggregation</Skill>
        <Skill>cobit</Skill>
        <Skill>sdlc</Skill>
        <Skill>data modeling</Skill>
      </>"
<>Rice Consultants LLC</>,</>,</>,<>JHL0B86BW40K1356DFY</>,<>17-2041.00</>,<>Chemical Engineers</>,<>There are excellent opportunities available for engineers and architects with design and ...  Candidate should be a Registered PE or Registered...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHL0B86BW40K1356DFY</>,<>https://api.careerbuilder.com/v1/job?DID=JHL0B86BW40K1356DFY&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MI - Detroit</>,<>42.3465</>,<>-83.0598</>,<>7/23/2014 8:52:28 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHL0B86BW40K1356DFY</>,<>Engineer / PE / Pharmaceutical / Biotechnology / Architect</>,<>HasAOReview</>,"<>
        <Skill>Electric power distribution</Skill>
        <Skill>Data center</Skill>
        <Skill>Mechanical engineering</Skill>
        <Skill>Existential quantification</Skill>
        <Skill>Biotechnology</Skill>
        <Skill>Microelectronics</Skill>
        <Skill>Project management</Skill>
        <Skill>HVAC</Skill>
        <Skill>Chemical engineering</Skill>
        <Skill>Automation</Skill>
      </>"
<>Tata Consultancy Services</>,<>c8c3wz66tx8dxx6x6mq</>,<>http://www.careerbuilder.com/jobs/company/c8c3wz66tx8dxx6x6mq/tata-consultancy-services?sc_cmp1=13_JobRes_ComDet</>,<>JHN78W6VY1MNP6857JG</>,<>15-1099.02</>,<>Computer Systems Engineers/Architects</>,"<>TATA has a need for a Business Architect Consultant At TCS, we achieve real business results ...  Business Architect Job Requirements Include:...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN78W6VY1MNP6857JG</>,<>https://api.careerbuilder.com/v1/job?DID=JHN78W6VY1MNP6857JG&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>US-Nationwide</>,<>0.0</>,<>0.0</>,<>7/5/2014 1:02:54 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN78W6VY1MNP6857JG</>,<>Business Architect-Located-Nationwide</>,<>IsExternal</>,"<>
        <Skill>microsoft excel</Skill>
        <Skill>microsoft word</Skill>
        <Skill>microsoft office</Skill>
        <Skill>sdlc</Skill>
        <Skill>microsoft powerpoint</Skill>
      </>"
<>Express Employment Professionals</>,<>c7x4f36pxzvcqdrh0m6</>,<>http://www.careerbuilder.com/jobs/company/c7x4f36pxzvcqdrh0m6/express-employment-professionals?sc_cmp1=13_JobRes_ComDet</>,<>JHT5J05XP87HHXHNRZ7</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>","<> experienced Software Architect in a 2+ years Contract-to-Perm role. Scope &amp; Responsibilities Apply your ...   Software Architect, Enterprise...</>",</>,<>Contractor</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHT5J05XP87HHXHNRZ7</>,<>https://api.careerbuilder.com/v1/job?DID=JHT5J05XP87HHXHNRZ7&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TX - Carrollton</>,<>32.9622</>,<>-96.899</>,<>7/24/2014 12:17:46 PM</>,<>$50.00 - $80.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHT5J05XP87HHXHNRZ7</>,<>Software Architect - .NET</>,<>HasScreener</>,"<>
        <Skill>max</Skill>
        <Skill>representational state transfer</Skill>
        <Skill>html5</Skill>
        <Skill>html</Skill>
        <Skill>soap</Skill>
        <Skill>directx</Skill>
        <Skill>xml</Skill>
        <Skill>mobile application development</Skill>
        <Skill>ado.net</Skill>
        <Skill>ibm software</Skill>
        <Skill>Android</Skill>
        <Skill>file transfer protocol</Skill>
        <Skill>vmware</Skill>
        <Skill>systems engineering</Skill>
        <Skill>ios</Skill>
        <Skill>scrum (development)</Skill>
      </>"
<>Medix</>,<>chv1555z7r4s2r7mj0m</>,<>http://www.careerbuilder.com/jobs/company/chv1555z7r4s2r7mj0m/medix?sc_cmp1=13_JobRes_ComDet</>,<>JHT3X364C7DGX1QSRFH</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",<>.NET Architect This is a senior level MS .NET position. Work involves the maintenance of ...  .NET Architect This is a senior level MS .NET position....</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHT3X364C7DGX1QSRFH</>,<>https://api.careerbuilder.com/v1/job?DID=JHT3X364C7DGX1QSRFH&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>VA - Arlington</>,<>38.89051</>,<>-77.08629</>,<>7/14/2014 8:56:59 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHT3X364C7DGX1QSRFH</>,<>.NET Architect</>,<>HasAOReview</>,"<>
        <Skill>c-sharp</Skill>
        <Skill>systems architecture</Skill>
        <Skill>agile software development</Skill>
        <Skill>systems design</Skill>
        <Skill>software development</Skill>
        <Skill>asp.net</Skill>
        <Skill>User Interface</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>sdlc</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>web 2.0</Skill>
        <Skill>sql</Skill>
        <Skill>interaction design</Skill>
        <Skill>system integration</Skill>
        <Skill>computer security</Skill>
        <Skill>data migration</Skill>
        <Skill>unit testing</Skill>
      </>"
<>OPTOMI</>,<>chq8cw6l9q73h17kb4s</>,<>http://www.careerbuilder.com/jobs/company/chq8cw6l9q73h17kb4s/optomi?sc_cmp1=13_JobRes_ComDet</>,<>JHP3WR6N4JTSBGY770Y</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",</>,<>Contractor</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHP3WR6N4JTSBGY770Y</>,<>https://api.careerbuilder.com/v1/job?DID=JHP3WR6N4JTSBGY770Y&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MI - Southfield</>,<>42.48175</>,<>-83.24093</>,<>7/2/2014 8:57:27 AM</>,<>$50.00 - $75.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHP3WR6N4JTSBGY770Y</>,"<>Technical Architect (SDLC, .NET, Java)</>",<>CanBulkApply</>,"<>
        <Skill>Unified Modeling Language</Skill>
        <Skill>POST (HTTP)</Skill>
        <Skill>software development</Skill>
        <Skill>Linux</Skill>
        <Skill>sdlc</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>internet protocol suite</Skill>
        <Skill>electronic commerce</Skill>
        <Skill>salesforce.com</Skill>
        <Skill>computer security</Skill>
        <Skill>Customer relationship management</Skill>
        <Skill>unix</Skill>
      </>"
<>Rice Consultants LLC</>,</>,</>,<>JHR60K73D99K7VSLLBF</>,<>17-2041.00</>,<>Chemical Engineers</>,<>There are excellent opportunities available for engineers and architects with design and ...  Candidate should be a Registered PE or Registered...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR60K73D99K7VSLLBF</>,<>https://api.careerbuilder.com/v1/job?DID=JHR60K73D99K7VSLLBF&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>DC - Washington</>,<>38.8774</>,<>-77.0179</>,<>7/23/2014 8:54:48 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR60K73D99K7VSLLBF</>,<>Engineer / PE / Pharmaceutical / Biotechnology / Architect</>,<>CanBulkApply</>,"<>
        <Skill>Electric power distribution</Skill>
        <Skill>Data center</Skill>
        <Skill>Mechanical engineering</Skill>
        <Skill>Existential quantification</Skill>
        <Skill>Biotechnology</Skill>
        <Skill>Microelectronics</Skill>
        <Skill>Project management</Skill>
        <Skill>HVAC</Skill>
        <Skill>Chemical engineering</Skill>
        <Skill>Automation</Skill>
      </>"
<>Collabera Inc.</>,<>c8a5z874t503m6w7ghf</>,<>http://www.careerbuilder.com/jobs/company/c8a5z874t503m6w7ghf/collabera-inc?sc_cmp1=13_JobRes_ComDet</>,<>JB74C56T11NVYBVSQDK</>,<>15-1099.02</>,<>Computer Systems Engineers/Architects</>,<> corporation is looking for a INFORMATION ARCHITECT for a long term contract job opportunity. Location ...   communicate and drive influence at all...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB74C56T11NVYBVSQDK</>,<>https://api.careerbuilder.com/v1/job?DID=JB74C56T11NVYBVSQDK&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NJ - Jersey City</>,<>40.7208</>,<>-74.0459</>,<>7/14/2014 8:35:51 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB74C56T11NVYBVSQDK</>,<>INFORMATION ARCHITECT (2 POSITIONS - URGENT HIRING)</>,<>HasAOReview</>,"<>
        <Skill>apache hadoop</Skill>
        <Skill>ETL</Skill>
        <Skill>oracle database</Skill>
        <Skill>database</Skill>
        <Skill>Business Intelligence</Skill>
        <Skill>ibm microprocessors</Skill>
        <Skill>Cognos</Skill>
        <Skill>hypertext transfer protocol</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>jsp</Skill>
        <Skill>ibm infosphere datastage</Skill>
        <Skill>ERWin</Skill>
        <Skill>data modeling</Skill>
        <Skill>data management</Skill>
        <Skill>c++</Skill>
        <Skill>data integration</Skill>
        <Skill>SAS</Skill>
        <Skill>database design</Skill>
      </>"
<>Collabera Inc.</>,<>c8a5z874t503m6w7ghf</>,<>http://www.careerbuilder.com/jobs/company/c8a5z874t503m6w7ghf/collabera-inc?sc_cmp1=13_JobRes_ComDet</>,<>JHR03K6RKKLC6SKWCBT</>,<>15-1099.02</>,<>Computer Systems Engineers/Architects</>,<> corporation is looking for a INFORMATION ARCHITECT for a long term contract job opportunity. Location ...   communicate and drive influence at all...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR03K6RKKLC6SKWCBT</>,<>https://api.careerbuilder.com/v1/job?DID=JHR03K6RKKLC6SKWCBT&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NC - Charlotte</>,<>35.211</>,<>-80.8671</>,<>7/14/2014 8:35:50 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR03K6RKKLC6SKWCBT</>,<>INFORMATION ARCHITECT (2 POSITIONS - URGENT HIRING)</>,<>CanBulkApply</>,"<>
        <Skill>apache hadoop</Skill>
        <Skill>ETL</Skill>
        <Skill>oracle database</Skill>
        <Skill>database</Skill>
        <Skill>Business Intelligence</Skill>
        <Skill>ibm microprocessors</Skill>
        <Skill>Cognos</Skill>
        <Skill>hypertext transfer protocol</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>jsp</Skill>
        <Skill>ibm infosphere datastage</Skill>
        <Skill>ERWin</Skill>
        <Skill>data modeling</Skill>
        <Skill>data management</Skill>
        <Skill>c++</Skill>
        <Skill>data integration</Skill>
        <Skill>SAS</Skill>
        <Skill>database design</Skill>
      </>"
